Station,Air Quality,Longitude,Latitude,O3 Hour,O3 Quality,O3 Value,NO2 Hour,NO2 Quality,NO2 Value,PM10 Hour,PM10 Quality,PM10 Value,Generated,Date Time
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,23h,Good,27,NA,NA,NA,15-11-2018 00:00,1542236701
Barcelona - Eixample,Good,2.1538,41.3853,23h,Good,25,23h,Good,48,23h,Good,33,15-11-2018 00:00,1542236701
Barcelona - Gràcia,Good,2.1534,41.3987,23h,Good,24,23h,Good,47,NA,NA,NA,15-11-2018 00:00,1542236701
Barcelona - Ciutadella,Good,2.1874,41.3864,23h,Good,36,23h,Good,23,NA,NA,NA,15-11-2018 00:00,1542236701
Barcelona - Vall Hebron,Good,2.148,41.4261,23h,Good,19,23h,Good,52,23h,Good,26,15-11-2018 00:00,1542236701
Barcelona - Palau Reial,Good,2.1151,41.3875,23h,Good,28,23h,Good,36,23h,Good,25,15-11-2018 00:00,1542236701
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,23h,Good,26,23h,Good,29,15-11-2018 00:00,1542236701
Barcelona - Observ Fabra,Good,2.1239,41.4183,23h,Good,54,23h,Good,21,23h,Good,21,15-11-2018 00:00,1542236701
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,0h,Good,15,NA,NA,NA,15-11-2018 01:00,1542240302
Barcelona - Eixample,Good,2.1538,41.3853,0h,Good,35,0h,Good,39,0h,Good,33,15-11-2018 01:00,1542240302
Barcelona - Gràcia,Good,2.1534,41.3987,0h,Good,47,0h,Good,21,NA,NA,NA,15-11-2018 01:00,1542240302
Barcelona - Ciutadella,Good,2.1874,41.3864,0h,Good,46,0h,Good,12,NA,NA,NA,15-11-2018 01:00,1542240302
Barcelona - Vall Hebron,Good,2.148,41.4261,0h,Good,20,0h,Good,44,0h,Good,26,15-11-2018 01:00,1542240302
Barcelona - Palau Reial,Good,2.1151,41.3875,0h,Good,48,0h,Good,13,0h,Good,25,15-11-2018 01:00,1542240302
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,0h,Good,9,0h,Good,29,15-11-2018 01:00,1542240302
Barcelona - Observ Fabra,Good,2.1239,41.4183,0h,Good,66,0h,Good,10,0h,Good,21,15-11-2018 01:00,1542240302
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,1h,Good,20,NA,NA,NA,15-11-2018 02:00,1542243902
Barcelona - Eixample,Good,2.1538,41.3853,1h,Good,36,1h,Good,35,1h,Good,33,15-11-2018 02:00,1542243902
Barcelona - Gràcia,Good,2.1534,41.3987,1h,Good,54,1h,Good,12,NA,NA,NA,15-11-2018 02:00,1542243902
Barcelona - Ciutadella,Good,2.1874,41.3864,1h,Good,49,1h,Good,10,NA,NA,NA,15-11-2018 02:00,1542243902
Barcelona - Vall Hebron,Good,2.148,41.4261,1h,Good,34,1h,Good,25,1h,Good,26,15-11-2018 02:00,1542243902
Barcelona - Palau Reial,Good,2.1151,41.3875,1h,Good,51,1h,Good,8,1h,Good,25,15-11-2018 02:00,1542243902
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,1h,Good,6,1h,Good,29,15-11-2018 02:00,1542243902
Barcelona - Observ Fabra,Good,2.1239,41.4183,1h,Good,64,1h,Good,10,1h,Good,20,15-11-2018 02:00,1542243902
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,2h,Good,16,NA,NA,NA,15-11-2018 03:00,1542247502
Barcelona - Eixample,Good,2.1538,41.3853,2h,Good,32,2h,Good,31,2h,Good,33,15-11-2018 03:00,1542247502
Barcelona - Gràcia,Good,2.1534,41.3987,2h,Good,39,2h,Good,19,NA,NA,NA,15-11-2018 03:00,1542247502
Barcelona - Ciutadella,Good,2.1874,41.3864,2h,Good,42,2h,Good,15,NA,NA,NA,15-11-2018 03:00,1542247502
Barcelona - Vall Hebron,Good,2.148,41.4261,2h,Good,39,2h,Good,15,2h,Good,27,15-11-2018 03:00,1542247502
Barcelona - Palau Reial,Good,2.1151,41.3875,2h,Good,46,2h,Good,9,2h,Good,25,15-11-2018 03:00,1542247502
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,2h,Good,15,2h,Good,28,15-11-2018 03:00,1542247502
Barcelona - Observ Fabra,Good,2.1239,41.4183,2h,Good,67,2h,Good,7,2h,Good,20,15-11-2018 03:00,1542247502
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,3h,Good,15,NA,NA,NA,15-11-2018 04:00,1542251102
Barcelona - Eixample,Good,2.1538,41.3853,3h,Good,32,3h,Good,27,3h,Good,33,15-11-2018 04:00,1542251102
Barcelona - Gràcia,Good,2.1534,41.3987,3h,Good,40,3h,Good,15,NA,NA,NA,15-11-2018 04:00,1542251102
Barcelona - Ciutadella,Good,2.1874,41.3864,3h,Good,30,3h,Good,21,NA,NA,NA,15-11-2018 04:00,1542251102
Barcelona - Vall Hebron,Good,2.148,41.4261,3h,Good,37,3h,Good,12,3h,Good,27,15-11-2018 04:00,1542251102
Barcelona - Palau Reial,Good,2.1151,41.3875,3h,Good,46,3h,Good,6,3h,Good,25,15-11-2018 04:00,1542251102
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,3h,Good,22,3h,Good,28,15-11-2018 04:00,1542251102
Barcelona - Observ Fabra,Good,2.1239,41.4183,3h,Good,71,3h,Good,5,3h,Good,19,15-11-2018 04:00,1542251102
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,4h,Good,12,NA,NA,NA,15-11-2018 05:00,1542254701
Barcelona - Eixample,Good,2.1538,41.3853,4h,Good,33,4h,Good,24,4h,Good,33,15-11-2018 05:00,1542254701
Barcelona - Gràcia,Good,2.1534,41.3987,4h,Good,40,4h,Good,15,NA,NA,NA,15-11-2018 05:00,1542254701
Barcelona - Ciutadella,Good,2.1874,41.3864,4h,Good,33,4h,Good,18,NA,NA,NA,15-11-2018 05:00,1542254701
Barcelona - Vall Hebron,Good,2.148,41.4261,4h,Good,40,4h,Good,10,4h,Good,28,15-11-2018 05:00,1542254701
Barcelona - Palau Reial,Good,2.1151,41.3875,4h,Good,43,4h,Good,6,4h,Good,25,15-11-2018 05:00,1542254701
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,4h,Good,18,4h,Good,28,15-11-2018 05:00,1542254701
Barcelona - Observ Fabra,Good,2.1239,41.4183,4h,Good,71,4h,Good,4,4h,Good,19,15-11-2018 05:00,1542254701
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,5h,Good,10,NA,NA,NA,15-11-2018 06:00,1542258301
Barcelona - Eixample,Good,2.1538,41.3853,5h,Good,40,5h,Good,23,5h,Good,33,15-11-2018 06:00,1542258301
Barcelona - Gràcia,Good,2.1534,41.3987,5h,Good,47,5h,Good,10,NA,NA,NA,15-11-2018 06:00,1542258301
Barcelona - Ciutadella,Good,2.1874,41.3864,5h,Good,52,5h,Good,9,NA,NA,NA,15-11-2018 06:00,1542258301
Barcelona - Vall Hebron,Good,2.148,41.4261,5h,Good,47,5h,Good,10,5h,Good,27,15-11-2018 06:00,1542258301
Barcelona - Palau Reial,Good,2.1151,41.3875,5h,Good,45,5h,Good,6,5h,Good,25,15-11-2018 06:00,1542258301
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,5h,Good,9,5h,Good,27,15-11-2018 06:00,1542258301
