Station,Air Quality,Longitude,Latitude,O3 Hour,O3 Quality,O3 Value,NO2 Hour,NO2 Quality,NO2 Value,PM10 Hour,PM10 Quality,PM10 Value,Generated,Date Time
Barcelona - Observ Fabra,Good,2.1239,41.4183,22h,Good,54.0,22h,Good,22.0,22h,Good,21.0,14/11/2018 23:00,1542233102
Barcelona - Eixample,Good,2.1538,41.3853,23h,Good,25.0,23h,Good,48.0,23h,Good,33.0,15/11/2018 0:00,1542236701
Barcelona - Vall Hebron,Good,2.148,41.4261,23h,Good,19.0,23h,Good,52.0,23h,Good,26.0,15/11/2018 0:00,1542236701
Barcelona - Palau Reial,Good,2.1151,41.3875,23h,Good,28.0,23h,Good,36.0,23h,Good,25.0,15/11/2018 0:00,1542236701
Barcelona - Observ Fabra,Good,2.1239,41.4183,23h,Good,54.0,23h,Good,21.0,23h,Good,21.0,15/11/2018 0:00,1542236701
Barcelona - Eixample,Good,2.1538,41.3853,0h,Good,35.0,0h,Good,39.0,0h,Good,33.0,15/11/2018 1:00,1542240302
Barcelona - Vall Hebron,Good,2.148,41.4261,0h,Good,20.0,0h,Good,44.0,0h,Good,26.0,15/11/2018 1:00,1542240302
Barcelona - Palau Reial,Good,2.1151,41.3875,0h,Good,48.0,0h,Good,13.0,0h,Good,25.0,15/11/2018 1:00,1542240302
Barcelona - Observ Fabra,Good,2.1239,41.4183,0h,Good,66.0,0h,Good,10.0,0h,Good,21.0,15/11/2018 1:00,1542240302
Barcelona - Eixample,Good,2.1538,41.3853,1h,Good,36.0,1h,Good,35.0,1h,Good,33.0,15/11/2018 2:00,1542243902
Barcelona - Vall Hebron,Good,2.148,41.4261,1h,Good,34.0,1h,Good,25.0,1h,Good,26.0,15/11/2018 2:00,1542243902
Barcelona - Palau Reial,Good,2.1151,41.3875,1h,Good,51.0,1h,Good,8.0,1h,Good,25.0,15/11/2018 2:00,1542243902
Barcelona - Observ Fabra,Good,2.1239,41.4183,1h,Good,64.0,1h,Good,10.0,1h,Good,20.0,15/11/2018 2:00,1542243902
Barcelona - Eixample,Good,2.1538,41.3853,2h,Good,32.0,2h,Good,31.0,2h,Good,33.0,15/11/2018 3:00,1542247502
Barcelona - Vall Hebron,Good,2.148,41.4261,2h,Good,39.0,2h,Good,15.0,2h,Good,27.0,15/11/2018 3:00,1542247502
Barcelona - Palau Reial,Good,2.1151,41.3875,2h,Good,46.0,2h,Good,9.0,2h,Good,25.0,15/11/2018 3:00,1542247502
Barcelona - Observ Fabra,Good,2.1239,41.4183,2h,Good,67.0,2h,Good,7.0,2h,Good,20.0,15/11/2018 3:00,1542247502
Barcelona - Eixample,Good,2.1538,41.3853,3h,Good,32.0,3h,Good,27.0,3h,Good,33.0,15/11/2018 4:00,1542251102
Barcelona - Vall Hebron,Good,2.148,41.4261,3h,Good,37.0,3h,Good,12.0,3h,Good,27.0,15/11/2018 4:00,1542251102
Barcelona - Palau Reial,Good,2.1151,41.3875,3h,Good,46.0,3h,Good,6.0,3h,Good,25.0,15/11/2018 4:00,1542251102
Barcelona - Observ Fabra,Good,2.1239,41.4183,3h,Good,71.0,3h,Good,5.0,3h,Good,19.0,15/11/2018 4:00,1542251102
Barcelona - Eixample,Good,2.1538,41.3853,4h,Good,33.0,4h,Good,24.0,4h,Good,33.0,15/11/2018 5:00,1542254701
Barcelona - Vall Hebron,Good,2.148,41.4261,4h,Good,40.0,4h,Good,10.0,4h,Good,28.0,15/11/2018 5:00,1542254701
Barcelona - Palau Reial,Good,2.1151,41.3875,4h,Good,43.0,4h,Good,6.0,4h,Good,25.0,15/11/2018 5:00,1542254701
Barcelona - Observ Fabra,Good,2.1239,41.4183,4h,Good,71.0,4h,Good,4.0,4h,Good,19.0,15/11/2018 5:00,1542254701
Barcelona - Eixample,Good,2.1538,41.3853,5h,Good,40.0,5h,Good,23.0,5h,Good,33.0,15/11/2018 6:00,1542258301
Barcelona - Vall Hebron,Good,2.148,41.4261,5h,Good,47.0,5h,Good,10.0,5h,Good,27.0,15/11/2018 6:00,1542258301
Barcelona - Palau Reial,Good,2.1151,41.3875,5h,Good,45.0,5h,Good,6.0,5h,Good,25.0,15/11/2018 6:00,1542258301
Barcelona - Observ Fabra,Good,2.1239,41.4183,5h,Good,71.0,5h,Good,4.0,5h,Good,18.0,15/11/2018 6:00,1542258301
Barcelona - Eixample,Good,2.1538,41.3853,6h,Good,51.0,6h,Good,18.0,6h,Good,32.0,15/11/2018 7:00,1542261901
Barcelona - Vall Hebron,Good,2.148,41.4261,6h,Good,66.0,6h,Good,9.0,6h,Good,26.0,15/11/2018 7:00,1542261901
Barcelona - Palau Reial,Good,2.1151,41.3875,6h,Good,57.0,6h,Good,3.0,6h,Good,24.0,15/11/2018 7:00,1542261901
Barcelona - Observ Fabra,Good,2.1239,41.4183,6h,Good,85.0,6h,Good,2.0,6h,Good,17.0,15/11/2018 7:00,1542261901
Barcelona - Eixample,Good,2.1538,41.3853,7h,Good,26.0,7h,Good,41.0,7h,Good,31.0,15/11/2018 8:00,1542265502
Barcelona - Vall Hebron,Good,2.148,41.4261,7h,Good,48.0,7h,Good,17.0,7h,Good,25.0,15/11/2018 8:00,1542265502
Barcelona - Palau Reial,Good,2.1151,41.3875,7h,Good,52.0,7h,Good,8.0,7h,Good,23.0,15/11/2018 8:00,1542265502
Barcelona - Observ Fabra,Good,2.1239,41.4183,7h,Good,76.0,7h,Good,4.0,7h,Good,17.0,15/11/2018 8:00,1542265502
Barcelona - Eixample,Good,2.1538,41.3853,8h,Good,4.0,8h,Good,76.0,8h,Good,31.0,15/11/2018 9:00,1542269102
Barcelona - Vall Hebron,Good,2.148,41.4261,8h,Good,23.0,8h,Good,41.0,8h,Good,26.0,15/11/2018 9:00,1542269102
Barcelona - Palau Reial,Good,2.1151,41.3875,8h,Good,27.0,8h,Good,30.0,8h,Good,23.0,15/11/2018 9:00,1542269102
Barcelona - Observ Fabra,Good,2.1239,41.4183,8h,Good,65.0,8h,Good,10.0,8h,Good,16.0,15/11/2018 9:00,1542269102
Barcelona - Eixample,Good,2.1538,41.3853,9h,Good,4.0,9h,Good,88.0,9h,Good,30.0,15/11/2018 10:00,1542272702
Barcelona - Vall Hebron,Good,2.148,41.4261,9h,Good,14.0,9h,Good,51.0,9h,Good,25.0,15/11/2018 10:00,1542272702
Barcelona - Palau Reial,Good,2.1151,41.3875,9h,Good,12.0,9h,Good,54.0,9h,Good,23.0,15/11/2018 10:00,1542272702
Barcelona - Observ Fabra,Good,2.1239,41.4183,9h,Good,56.0,9h,Good,19.0,9h,Good,15.0,15/11/2018 10:00,1542272702
Barcelona - Eixample,Good,2.1538,41.3853,10h,Good,18.0,10h,Good,74.0,10h,Good,30.0,15/11/2018 11:00,1542276302
Barcelona - Vall Hebron,Good,2.148,41.4261,10h,Good,34.0,10h,Good,43.0,10h,Good,24.0,15/11/2018 11:00,1542276302
Barcelona - Palau Reial,Good,2.1151,41.3875,10h,Good,26.0,10h,Good,44.0,10h,Good,23.0,15/11/2018 11:00,1542276302
Barcelona - Observ Fabra,Good,2.1239,41.4183,10h,Good,65.0,10h,Good,17.0,10h,Good,14.0,15/11/2018 11:00,1542276302
Barcelona - Eixample,Good,2.1538,41.3853,11h,Good,20.0,11h,Good,72.0,11h,Good,30.0,15/11/2018 12:00,1542279902
Barcelona - Vall Hebron,Good,2.148,41.4261,11h,Good,50.0,11h,Good,29.0,11h,Good,23.0,15/11/2018 12:00,1542279902
Barcelona - Palau Reial,Good,2.1151,41.3875,11h,Good,40.0,11h,Good,29.0,11h,Good,22.0,15/11/2018 12:00,1542279902
Barcelona - Observ Fabra,Good,2.1239,41.4183,11h,Good,69.0,11h,Good,14.0,11h,Good,13.0,15/11/2018 12:00,1542279902
Barcelona - Eixample,Good,2.1538,41.3853,12h,Good,28.0,12h,Good,60.0,12h,Good,29.0,15/11/2018 12:00,1542283502
Barcelona - Vall Hebron,Good,2.148,41.4261,12h,Good,57.0,12h,Good,21.0,12h,Good,23.0,15/11/2018 12:00,1542283502
Barcelona - Palau Reial,Good,2.1151,41.3875,12h,Good,43.0,12h,Good,26.0,12h,Good,22.0,15/11/2018 12:00,1542283502
Barcelona - Observ Fabra,Good,2.1239,41.4183,12h,Good,70.0,12h,Good,13.0,12h,Good,12.0,15/11/2018 12:00,1542283502
Barcelona - Eixample,Good,2.1538,41.3853,13h,Good,35.0,13h,Good,52.0,13h,Good,29.0,15/11/2018 14:00,1542287102
Barcelona - Vall Hebron,Good,2.148,41.4261,13h,Good,57.0,13h,Good,20.0,13h,Good,23.0,15/11/2018 14:00,1542287102
Barcelona - Palau Reial,Good,2.1151,41.3875,13h,Good,48.0,13h,Good,20.0,13h,Good,22.0,15/11/2018 14:00,1542287102
Barcelona - Observ Fabra,Good,2.1239,41.4183,13h,Good,72.0,13h,Good,11.0,13h,Good,12.0,15/11/2018 14:00,1542287102
Barcelona - Eixample,Good,2.1538,41.3853,14h,Good,36.0,14h,Good,49.0,14h,Good,29.0,15/11/2018 14:00,1542290701
Barcelona - Vall Hebron,Good,2.148,41.4261,14h,Good,62.0,14h,Good,17.0,14h,Good,23.0,15/11/2018 14:00,1542290701
Barcelona - Palau Reial,Good,2.1151,41.3875,14h,Good,51.0,14h,Good,14.0,14h,Good,22.0,15/11/2018 14:00,1542290701
Barcelona - Observ Fabra,Good,2.1239,41.4183,14h,Good,71.0,14h,Good,11.0,14h,Good,12.0,15/11/2018 14:00,1542290701
Barcelona - Eixample,Good,2.1538,41.3853,14h,Good,36.0,14h,Good,49.0,15h,Good,29.0,15/11/2018 16:00,1542294301
Barcelona - Vall Hebron,Good,2.148,41.4261,15h,Good,49.0,15h,Good,24.0,15h,Good,22.0,15/11/2018 16:00,1542294301
Barcelona - Palau Reial,Good,2.1151,41.3875,15h,Good,45.0,15h,Good,18.0,15h,Good,22.0,15/11/2018 16:00,1542294301
Barcelona - Observ Fabra,Good,2.1239,41.4183,15h,Good,64.0,15h,Good,13.0,15h,Good,12.0,15/11/2018 16:00,1542294301
Barcelona - Eixample,Good,2.1538,41.3853,16h,Good,22.0,16h,Good,61.0,16h,Good,29.0,15/11/2018 17:00,1542297902
Barcelona - Vall Hebron,Good,2.148,41.4261,16h,Good,40.0,16h,Good,31.0,16h,Good,22.0,15/11/2018 17:00,1542297902
