REGION, 2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ANDALUCIA,11823,12735,13565,14553,15522,16529,17550,18459,18625,17747,17599,17318,16666,16379,16522,17128,17651
ARAGON,16692,17917,19227,20374,21535,22873,24480,26141,26650,25391,25603,25227,24267,24417,24646,25488,26328
ASTURIAS,13382,14468,15361,16259,17310,18781,20399,21759,22336,21110,21250,20895,20005,19445,19506,20381,20910
BALEARS,20030,21256,21684,21914,22710,23677,24746,25502,25717,24260,24084,23762,23224,22924,23439,24102,24870
CANARIAS,15570,16759,17476,18227,18778,19595,20422,21167,21186,20006,20091,19792,19017,18761,18758,19213,19867
CANTABRIA,14891,16095,17080,17809,18765,20019,21227,22436,22850,21830,21754,21285,20559,19965,20361,20951,21553
CASTILLA Y LEON,14445,15441,16430,17415,18468,19645,20838,22082,22421,21769,21827,21672,21150,20688,20877,21735,22649
CASTILLA-LA MANCHA,12431,13425,14296,15219,16028,17141,18254,19322,19697,18889,18765,18435,17864,17557,17266,17993,18591
CATALUNA,19383,20899,21862,22846,23991,25205,26828,28124,28332,27128,27192,26677,26041,25945,26585,27608,28590
COMUNITAT VALENCIANA,15185,16461,17217,17857,18660,19574,20770,21610,21878,20621,20511,20124,19288,19176,19656,20556,21296
EXTREMADURA,10145,10851,11567,12326,13118,14194,15058,16102,16633,16204,16381,15916,15313,15280,15224,15882,16369
GALICIA,12372,13341,14244,15228,16341,17667,19086,20470,21226,20490,20574,20143,19533,19508,19663,20484,21358
MADRID,21333,23016,24014,25085,26484,28100,30200,31617,32152,31402,31005,31041,30446,30179,30637,31708,32723
MURCIA,13328,14336,15190,16055,16841,17874,18967,19923,20354,19190,19213,18646,18168,18122,18156,18803,19411
NAVARRA,20287,21484,22652,23733,25034,26594,28185,29451,30128,28892,28752,28533,27485,27442,28039,29053,29807
PAIS VASCO,19542,20932,22117,23306,24732,26502,28555,30259,31243,29828,30114,29842,29275,28858,29514,30769,31805
LA RIOJA,17813,18919,19673,20838,21603,22806,24338,25492,25986,24861,25052,24649,23917,23726,24311,25220,25692
CEUTA,14350,14753,15671,16685,17540,18421,19479,20404,20765,20109,19706,19115,18227,18434,18277,18844,19446
MELILLA,14132,14425,15203,16358,17524,18223,19078,19426,19546,18883,18381,17773,16668,16670,16674,17049,17686
National average,15935,17160,18088,19041,20099,21313,22722,23893,24274,23271,23214,22903,22233,22013,22323,23177,23970
